m2,nb_rooms,nb_bedrooms,building_floor,apartment_floor,nb_bath,Cellar,balc_patio,Heating,Renovated,Parking,building_height,Ground_floor,Heating_Central,Heating_Individual,Last_floor,district,SalePrice_K
3.4657359027997265,2,1,6,4,1,1,0,Central,0,0,Average,0,1,0,0,16e,5.916202062607435
4.330733340286331,3,1,4,0,1,1,0,Central,0,0,Average,1,1,0,0,16e,6.773080375655535
4.820281565605037,5,3,6,1,1,1,"Terrasse, balcon",Central,0,1,Average,0,1,0,0,17e,7.517520850603031
4.30406509320417,3,2,5,5,1,0,0,"Individuel, au gaz",0,0,Average,0,0,1,1,18e,6.61338421837956
4.143134726391533,3,2,6,4,1,1,0,Individuel,0,0,Average,0,0,1,0,18e,6.885509670034818
4.07753744390572,3,2,6,0,1,1,0,Unknown,0,0,Average,1,0,0,0,15e,6.361302477572996
4.07753744390572,3,2,6,0,1,1,0,Unknown,0,0,Average,1,0,0,0,7e,6.361302477572996
4.31748811353631,3,2,0,5,1,1,0,Unknown,0,0,Average,0,0,0,0,2e,6.683360945766275
5.176149732573829,5,3,6,0,1,0,0,Unknown,0,0,Average,1,0,0,0,17e,7.595889917718538
4.0943445622221,3,2,6,0,1,1,0,Individuel,0,0,Average,1,0,1,0,18e,6.3080984415095305
4.0943445622221,3,2,6,5,1,0,0,Individuel,0,0,Average,0,0,1,0,10e,6.551080335043404
3.871201010907891,2,1,6,1,1,1,0,Individuel,0,1,Average,0,0,1,0,20e,6.309918278226516
4.406719247264253,6,3,5,2,3,1,Balcon,Individuel,0,0,Average,0,0,1,0,9e,6.779921907472252
4.68213122712422,4,2,0,3,2,1,0,Au gaz,0,0,Average,0,0,0,0,13e,7.2078598714324755
5.303304908059076,5,3,6,0,1,1,0,Individuel,0,0,Average,1,0,1,0,18e,7.691656822810547
4.3694478524670215,3,2,8,1,1,1,Balcon,Au gaz,0,0,Average,0,0,0,0,17e,6.633318433280377
3.5263605246161616,2,1,6,3,1,1,0,Unknown,0,0,Average,0,0,0,0,10e,5.991464547107982
4.382026634673881,4,2,6,4,1,1,0,Individuel,0,0,Average,0,0,1,0,18e,6.946975992135418
3.784189633918261,2,1,6,2,1,1,0,Unknown,0,0,Average,0,0,0,0,9e,6.38856140554563
